"","clone1","clone2","clone3","clone4"
"KLF13",2,3,2,2
"OTUD7A",2,3,2,2
"GREM1",2,3,2,2
"FMN1",2,3,2,2
"AVEN",2,3,2,2
"EMC7",2,3,2,2
"PGBD4",2,3,2,2
"KATNBL1",2,3,2,2
"AQR",2,3,2,2
"ZNF770",2,3,2,2
"DPH6",2,3,2,2
"C15orf41",2,3,2,2
"MEIS2",2,3,2,2
"SPRED1",2,3,2,2
"FAM98B",2,3,2,2
"RASGRP1",2,3,2,2
"C15orf53",2,3,2,2
"THBS1",2,3,2,2
"FSIP1",2,3,2,2
"EIF2AK4",2,3,2,2
"SRP14",2,3,2,2
"SRP14-AS1",2,3,2,2
"BMF",2,3,2,2
"BUB1B",2,3,2,2
"PAK6",2,3,2,2
"PLCB2",2,3,2,2
"DISP2",2,3,2,2
"KNSTRN",2,3,2,2
"IVD",2,3,2,2
"BAHD1",2,3,2,2
"CHST14",2,3,2,2
"RPUSD2",2,3,2,2
"RAD51",2,3,2,2
"RMDN3",2,3,2,2
"GCHFR",2,3,2,2
"DNAJC17",2,3,2,2
"C15orf62",2,3,2,2
"ZFYVE19",2,3,2,2
"SPINT1",2,3,2,2
"RHOV",2,3,2,2
"VPS18",2,3,2,2
"CHAC1",2,3,2,2
"INO80",2,3,2,2
"CHP1",2,3,2,2
"OIP5",2,3,2,2
"NUSAP1",2,3,2,2
"NDUFAF1",2,3,2,2
"RTF1",2,3,2,2
"ITPKA",2,3,2,2
"LTK",2,3,2,2
"RPAP1",2,3,2,2
"TYRO3",2,3,2,2
"MGA",2,3,2,2
"MAPKBP1",2,3,2,2
"JMJD7-PLA2G4B",2,3,2,2
"SPTBN5",2,3,2,2
"EHD4",2,3,2,2
"VPS39",2,3,2,2
"TMEM87A",2,3,2,2
"GANC",2,3,2,2
"CAPN3",2,3,2,2
"ZNF106",2,3,2,2
"SNAP23",2,3,2,2
"LRRC57",2,3,2,2
"HAUS2",2,3,2,2
"STARD9",2,3,2,2
"CDAN1",2,3,2,2
"TTBK2",2,3,2,2
"UBR1",2,3,2,2
"TMEM62",2,3,2,2
"CCNDBP1",2,3,2,2
"B2M",2,3,2,2
"TRIM69",2,3,2,2
"SORD",2,3,2,2
"DUOX1",2,3,2,2
"SHF",2,3,2,2
"SLC28A2",2,3,2,2
"GATM",2,3,2,2
"SPATA5L1",2,3,2,2
"C15orf48",2,3,2,2
"SLC30A4",2,3,2,2
"BLOC1S6",2,3,2,2
"SEMA6D",2,3,2,2
"MYEF2",2,3,2,2
"DUT",2,3,2,2
"FBN1",2,3,2,2
"CEP152",2,3,2,2
"SHC4",2,3,2,2
"EID1",2,3,2,2
"SECISBP2L",2,3,2,2
"COPS2",2,3,2,2
"SLC27A2",2,3,2,2
"GABPB1",2,3,2,2
"GABPB1-AS1",2,3,2,2
"USP8",2,3,2,2
"TRPM7",2,3,2,2
"LYSMD2",2,3,2,2
"TMOD2",2,3,2,2
"TMOD3",2,3,2,2
"LEO1",2,3,2,2
"MAPK6",2,3,2,2
"GNB5",2,3,2,2
"MYO5C",2,3,2,2
"MYO5A",2,3,2,2
"ARPP19",2,3,2,2
"FAM214A",2,3,2,2
"RAB27A",2,3,2,2
"PIGB",2,3,2,2
"CCPG1",2,3,2,2
"C15orf65",2,3,2,2
"ZNF280D",2,3,2,2
"TCF12",2,3,2,2
"LINC00926",2,3,2,2
"CGNL1",2,3,2,2
"MYZAP",2,3,2,2
"POLR2M",2,3,2,2
"ALDH1A2",2,3,2,2
"AQP9",2,3,2,2
"LIPC",2,3,2,2
"ADAM10",2,3,2,2
"RNF111",2,3,2,2
"SLTM",2,3,2,2
"CCNB2",2,3,2,2
"MYO1E",2,3,2,2
"FAM81A",2,3,2,2
"GCNT3",2,3,2,2
"GTF2A2",2,3,2,2
"BNIP2",2,3,2,2
"ANXA2",2,3,2,2
"RORA",2,3,2,2
"VPS13C",2,3,2,2
"C2CD4B",2,3,2,2
"TLN2",2,3,2,2
"TPM1",2,3,2,2
"LACTB",2,3,2,2
"RPS27L",2,3,2,2
"RAB8B",2,3,2,2
"APH1B",2,3,2,2
"CA12",2,3,2,2
"USP3",2,3,2,2
"USP3-AS1",2,3,2,2
"FBXL22",2,3,2,2
"HERC1",2,3,2,2
"DAPK2",2,3,2,2
"FAM96A",2,3,2,2
"SNX1",2,3,2,2
"SNX22",2,3,2,2
"PPIB",2,3,2,2
"CSNK1G1",2,3,2,2
"TRIP4",2,3,2,2
"ZNF609",2,3,2,2
"OAZ2",2,3,2,2
"AC100830.3",2,3,2,2
"RBPMS2",2,3,2,2
"PIF1",2,3,2,2
"PLEKHO2",2,3,2,2
"ANKDD1A",2,3,2,2
"SPG21",2,3,2,2
"MTFMT",2,3,2,2
"UBAP1L",2,3,2,2
"PDCD7",2,3,2,2
"CLPX",2,3,2,2
"PARP16",2,3,2,2
"DPP8",2,3,2,2
"SLC24A1",2,3,2,2
"DENND4A",2,3,2,2
"RAB11A",2,3,2,2
"DIS3L",2,3,2,2
"TIPIN",2,3,2,2
"MAP2K1",2,3,2,2
"SNAPC5",2,3,2,2
"RPL4",2,3,2,2
"ZWILCH",2,3,2,2
"LCTL",2,3,2,2
"SMAD6",2,3,2,2
"SMAD3",2,3,2,2
"AAGAB",2,3,2,2
"IQCH",2,3,2,2
"IQCH-AS1",2,3,2,2
"C15orf61",2,3,2,2
"MAP2K5",2,3,2,2
"SKOR1",2,3,2,2
"PIAS1",2,3,2,2
"AC107871.1",2,3,2,2
"CALML4",2,3,2,2
"CLN6",2,3,2,2
"FEM1B",2,3,2,2
"ITGA11",2,3,2,2
"CORO2B",2,3,2,2
"GLCE",2,3,2,2
"PAQR5",2,3,2,2
"KIF23",2,3,2,2
"RPLP1",2,3,2,2
"TLE3",2,3,2,2
"THSD4",2,3,2,2
"BBS4",2,3,2,2
"ADPGK",2,3,2,2
"NEO1",2,3,2,2
"CCDC33",2,3,2,2
"SEMA7A",2,3,2,2
"UBL7",2,3,2,2
"UBL7-AS1",2,3,2,2
"ARID3B",2,3,2,2
"CLK3",2,3,2,2
"EDC3",2,3,2,2
"CSK",2,3,2,2
"ULK3",2,3,2,2
"SCAMP2",2,3,2,2
"MPI",2,3,2,2
"FAM219B",2,3,2,2
"COX5A",2,3,2,2
"RPP25",2,3,2,2
"SCAMP5",2,3,2,2
"PPCDC",2,3,2,2
"C15orf39",2,3,2,2
"ODF3L1",2,3,2,2
"DNM1P35",2,3,2,2
"UBE2Q2",2,3,2,2
"FBXO22",2,3,2,2
"NRG4",2,3,2,2
"ETFA",2,3,2,2
"SCAPER",2,3,2,2
"RCN2",2,3,2,2
"PSTPIP1",2,3,2,2
"TSPAN3",2,3,2,2
"LINGO1",2,3,2,2
"TBC1D2B",2,3,2,2
"CIB2",2,3,2,2
"IDH3A",2,3,2,2
"ACSBG1",2,3,2,2
"DNAJA4",2,3,2,2
"WDR61",2,3,2,2
"CRABP1",2,3,2,2
"IREB2",2,3,2,2
"HYKK",2,3,2,2
"PSMA4",2,3,2,2
"CHRNA5",2,3,2,2
"CHRNA3",2,3,2,2
"MORF4L1",2,3,2,2
"CTSH",2,3,2,2
"RASGRF1",2,3,2,2
"MTHFS",2,3,2,2
"ST20",2,3,2,2
"BCL2A1",2,3,2,2
"ZFAND6",2,3,2,2
"FAH",2,3,2,2
"ARNT2",2,3,2,2
"ABHD17C",2,3,2,2
"AKAP13",2,3,2,2
"KLHL25",2,3,2,2
"NTRK3",2,3,2,2
"ABHD2",2,3,2,2
"FANCI",2,3,2,2
"POLG",2,3,2,2
"RHCG",2,3,2,2
"TICRR",2,3,2,2
"KIF7",2,3,2,2
"PEX11A",2,3,2,2
"WDR93",2,3,2,2
"MESP1",2,3,2,2
"MESP2",2,3,2,2
"ANPEP",2,3,2,2
"AP3S2",2,3,2,2
"ZNF710",2,3,2,2
"IDH2",2,3,2,2
"SEMA4B",2,3,2,2
"CIB1",2,3,2,2
"GDPGP1",2,3,2,2
"NGRN",2,3,2,2
"ZNF774",2,3,2,2
"IQGAP1",2,3,2,2
"CRTC3",2,3,2,2
"BLM",2,3,2,2
"FURIN",2,3,2,2
"FES",2,3,2,2
"MAN2A2",2,3,2,2
"HDDC3",2,3,2,2
"UNC45A",2,3,2,2
"RCCD1",2,3,2,2
"PRC1",2,3,2,2
"VPS33B",2,3,2,2
"SLCO3A1",2,3,2,2
"FAM174B",2,3,2,2
"CHD2",2,3,2,2
"RGMA",2,3,2,2
"MCTP2",2,3,2,2
"LINC00924",2,3,2,2
"NR2F2",2,3,2,2
"LINC00923",2,3,2,2
"ARRDC4",2,3,2,2
"IGF1R",2,3,2,2
"SYNM",2,3,2,2
"TTC23",2,3,2,2
"LRRC28",2,3,2,2
"MEF2A",2,3,2,2
"LYSMD4",2,3,2,2
"AC090825.1",2,3,2,2
"ADAMTS17",2,3,2,2
"SPATA41",2,3,2,2
"ASB7",2,3,2,2
"ALDH1A3",2,3,2,2
"LRRK1",2,3,2,2
"CHSY1",2,3,2,2
"SNRPA1",2,3,2,2
"PCSK6",2,3,2,2
"RAB11FIP3",3,3,2,2
"CAPN15",3,3,2,2
"PIGQ",3,3,2,2
"NHLRC4",3,3,2,2
"RAB40C",3,3,2,2
"WFIKKN1",3,3,2,2
"WDR90",3,3,2,2
"RHOT2",3,3,2,2
"RHBDL1",3,3,2,2
"STUB1",3,3,2,2
"JMJD8",3,3,2,2
"WDR24",3,3,2,2
"FBXL16",3,3,2,2
"METRN",3,3,2,2
"FAM173A",3,3,2,2
"CCDC78",3,3,2,2
"HAGHL",3,3,2,2
"NARFL",3,3,2,2
"MSLN",3,3,2,2
"RPUSD1",3,3,2,2
"CHTF18",3,3,2,2
"LMF1",3,3,2,2
"CACNA1H",3,3,2,2
"UBE2I",3,3,2,2
"BAIAP3",3,3,2,2
"TSR3",3,3,2,2
"GNPTG",3,3,2,2
"UNKL",3,3,2,2
"C16orf91",3,3,2,2
"CCDC154",3,3,2,2
"CLCN7",3,3,2,2
"TELO2",3,3,2,2
"IFT140",3,3,2,2
"TMEM204",3,3,2,2
"MAPK8IP3",3,3,2,2
"NME3",3,3,2,2
"MRPS34",3,3,2,2
"EME2",3,3,2,2
"SPSB3",3,3,2,2
"NUBP2",3,3,2,2
"IGFALS",3,3,2,2
"HAGH",3,3,2,2
"FAHD1",3,3,2,2
"HS3ST6",3,3,2,2
"MSRB1",3,3,2,2
"NDUFB10",3,3,2,2
"RPS2",3,3,2,2
"SNHG9",3,3,2,2
"TBL3",3,3,2,2
"NOXO1",3,3,2,2
"GFER",3,3,2,2
"SYNGR3",3,3,2,2
"ZNF598",3,3,2,2
"NPW",3,3,2,2
"SLC9A3R2",3,3,2,2
"NTHL1",3,3,2,2
"TSC2",3,3,2,2
"PKD1",3,3,2,2
"RAB26",3,3,2,2
"TRAF7",3,3,2,2
"MLST8",3,3,2,2
"BRICD5",3,3,2,2
"PGP",3,3,2,2
"E4F1",3,3,2,2
"DNASE1L2",3,3,2,2
"ECI1",3,3,2,2
"RNPS1",3,3,2,2
"ABCA3",3,3,2,2
"CCNF",3,3,2,2
"KREMEN2",3,3,2,2
"PKMYT1",3,3,2,2
"PAQR4",3,3,2,2
"CLDN9",3,3,2,2
"CLDN6",3,3,2,2
"TNFRSF12A",3,3,2,2
"HCFC1R1",3,3,2,2
"THOC6",3,3,2,2
"MMP25",3,3,2,2
"IL32",3,3,2,2
"ZNF205",3,3,2,2
"ZNF213",3,3,2,2
"ZNF200",3,3,2,2
"MEFV",3,3,2,2
"ZNF263",3,3,2,2
"TIGD7",3,3,2,2
"ZNF75A",3,3,2,2
"MTRNR2L4",3,3,2,2
"ZSCAN32",3,3,2,2
"ZNF174",3,3,2,2
"ZNF597",3,3,2,2
"NAA60",3,3,2,2
"CLUAP1",3,3,2,2
"NLRC3",3,3,2,2
"SLX4",3,3,2,2
"DNASE1",3,3,2,2
"TRAP1",3,3,2,2
"CREBBP",3,3,2,2
"ADCY9",3,3,2,2
"TFAP4",3,3,2,2
"GLIS2",3,3,2,2
"PAM16",3,3,2,2
"CORO7",3,3,2,2
"VASN",3,3,2,2
"DNAJA3",3,3,2,2
"NMRAL1",3,3,2,2
"HMOX2",3,3,2,2
"CDIP1",3,3,2,2
"UBALD1",3,3,2,2
"MGRN1",3,3,2,2
"NUDT16L1",3,3,2,2
"ANKS3",3,3,2,2
"C16orf71",3,3,2,2
"ZNF500",3,3,2,2
"SMIM22",3,3,2,2
"ROGDI",3,3,2,2
"GLYR1",3,3,2,2
"UBN1",3,3,2,2
"PPL",3,3,2,2
"SEC14L5",3,3,2,2
"NAGPA",3,3,2,2
"ALG1",3,3,2,2
"C16orf89",3,3,2,2
"RBFOX1",3,3,2,2
"USP7",3,3,2,2
"C16orf72",3,3,2,2
"ATF7IP2",3,3,2,2
"EMP2",3,3,2,2
"NUBP1",3,3,2,2
"TVP23A",3,3,2,2
"CIITA",3,3,2,2
"DEXI",3,3,2,2
"CLEC16A",3,3,2,2
"RMI2",3,3,2,2
"SOCS1",3,3,2,2
"LITAF",3,3,2,2
"SNN",3,3,2,2
"TXNDC11",3,3,2,2
"ZC3H7A",3,3,2,2
"RSL1D1",3,3,2,2
"GSPT1",3,3,2,2
"CPPED1",3,3,2,2
"ERCC4",3,3,2,2
"MKL2",3,3,2,2
"C16orf45",3,3,2,2
"NDE1",3,3,2,2
"MYH11",3,3,2,2
"FOPNL",3,3,2,2
"XYLT1",3,3,2,2
"TMC7",3,3,2,2
"COQ7",3,3,2,2
"ITPRIPL2",3,3,2,2
"SYT17",3,3,2,2
"CLEC19A",3,3,2,2
"TMC5",3,3,2,2
"GDE1",3,3,2,2
"CCP110",3,3,2,2
"KNOP1",3,3,2,2
"IQCK",3,3,2,2
"GPRC5B",3,3,2,2
"ACSM3",3,3,2,2
"ACSM1",3,3,2,2
"THUMPD1",3,3,2,2
"ERI2",3,3,2,2
"DCUN1D3",3,3,2,2
"LYRM1",3,3,2,2
"SDR42E2",3,3,2,2
"EEF2K",3,3,2,2
"POLR3E",3,3,2,2
"CDR2",3,3,2,2
"USP31",3,3,2,2
"COG7",3,3,2,2
"GGA2",3,3,2,2
"EARS2",3,3,2,2
"UBFD1",3,3,2,2
"NDUFAB1",3,3,2,2
"PALB2",3,3,2,2
"DCTN5",3,3,2,2
"PLK1",3,3,2,2
"PRKCB",3,3,2,2
"RBBP6",3,3,2,2
"TNRC6A",3,3,2,2
"AC008731.1",3,3,2,2
"ARHGAP17",3,3,2,2
"LCMT1",3,3,2,2
"ZKSCAN2",3,3,2,2
"KDM8",3,3,2,2
"NSMCE1",3,3,2,2
"IL4R",3,3,2,2
"IL21R-AS1",3,3,2,2
"GTF3C1",3,3,2,2
"KIAA0556",3,3,2,2
"PIK3C3",5,5,4,3
"LINC00907",5,5,4,3
"SLC14A2",5,5,4,3
"SLC14A1",5,5,4,3
"SIGLEC15",5,5,4,3
"EPG5",5,5,4,3
"PSTPIP2",5,5,4,3
"HAUS1",5,5,4,3
"C18orf25",5,5,4,3
"RNF165",5,5,4,3
"WDR7",2,1,2,2
"FECH",2,1,2,2
"NARS",2,1,2,2
"ATP8B1",2,1,2,2
"NEDD4L",2,1,2,2
"ALPK2",2,1,2,2
"MALT1",2,1,2,2
"ZNF532",2,1,2,2
"SEC11C",2,1,2,2
"LMAN1",2,1,2,2
"CCBE1",2,1,2,2
"PMAIP1",2,1,2,2
"CDH20",2,1,2,2
"RNF152",2,1,2,2
"PIGN",2,1,2,2
"KIAA1468",2,1,2,2
"TNFRSF11A",2,1,2,2
"ZCCHC2",2,1,2,2
"KDSR",2,1,2,2
"VPS4B",2,1,2,2
"DSEL",2,1,2,2
"TMX3",2,1,2,2
"CCDC102B",2,1,2,2
"CD226",2,1,2,2
"RTTN",2,1,2,2
"SOCS6",2,1,2,2
"FBXO15",2,1,2,2
"TIMM21",2,1,2,2
"CYB5A",2,1,2,2
"ZNF407",2,1,2,2
"ZADH2",2,1,2,2
"TSHZ1",2,1,2,2
"ZNF516",2,1,2,2
"LINC00908",2,1,2,2
"C19orf57",2,2,2,3
"CC2D1A",2,2,2,3
"PODNL1",2,2,2,3
"DCAF15",2,2,2,3
"RFX1",2,2,2,3
"IL27RA",2,2,2,3
"PALM3",2,2,2,3
"SAMD1",2,2,2,3
"PRKACA",2,2,2,3
"ASF1B",2,2,2,3
"DDX39A",2,2,2,3
"PKN1",2,2,2,3
"PTGER1",2,2,2,3
"GIPC1",2,2,2,3
"DNAJB1",2,2,2,3
"TECR",2,2,2,3
"NDUFB7",2,2,2,3
"ZNF333",2,2,2,3
"SYDE1",2,2,2,3
"ILVBL",2,2,2,3
"NOTCH3",2,2,2,3
"EPHX3",2,2,2,3
"BRD4",2,2,2,3
"AKAP8",2,2,2,3
"AKAP8L",2,2,2,3
"WIZ",2,2,2,3
"RASAL3",2,2,2,3
"CYP4F3",2,2,2,3
"UCA1",2,2,2,3
"CYP4F11",2,2,2,3
"TPM4",2,2,2,3
"RAB8A",2,2,2,3
"HSH2D",2,2,2,3
"FAM32A",2,2,2,3
"AP1M1",2,2,2,3
"KLF2",2,2,2,3
"EPS15L1",2,2,2,3
"C19orf44",2,2,2,3
"CHERP",2,2,2,3
"SLC35E1",2,2,2,3
"MED26",2,2,2,3
"SMIM7",2,2,2,3
"TMEM38A",2,2,2,3
"NWD1",2,2,2,3
"SIN3B",2,2,2,3
"CPAMD8",2,2,2,3
"HAUS8",2,2,2,3
"MYO9B",2,2,2,3
"USE1",2,2,2,3
"OCEL1",2,2,2,3
"NR2F6",2,2,2,3
"BABAM1",2,2,2,3
"ANKLE1",2,2,2,3
"ABHD8",2,2,2,3
"MRPL34",2,2,2,3
"DDA1",2,2,2,3
"ANO8",2,2,2,3
"GTPBP3",2,2,2,3
"PLVAP",2,2,2,3
"BST2",2,2,2,3
"MVB12A",2,2,2,3
"TMEM221",2,2,2,3
"SLC27A1",2,2,2,3
"PGLS",2,2,2,3
"FAM129C",2,2,2,3
"COLGALT1",2,2,2,3
"MAP1S",2,2,2,3
"FCHO1",2,2,2,3
"B3GNT3",2,2,2,3
"INSL3",2,2,2,3
"JAK3",2,2,2,3
"RPL18A",2,2,2,3
"CCDC124",2,2,2,3
"KCNN1",2,2,2,3
"ARRDC2",2,2,2,3
"IL12RB1",2,2,2,3
"MAST3",2,2,2,3
"PIK3R2",2,2,2,3
"IFI30",2,2,2,3
"MPV17L2",2,2,2,3
"RAB3A",2,2,2,3
"AC008397.1",2,2,2,3
"JUND",2,2,2,3
"LSM4",2,2,2,3
"PGPEP1",2,2,2,3
"GDF15",2,2,2,3
"SSBP4",2,2,2,3
"ISYNA1",2,2,2,3
"ELL",2,2,2,3
"FKBP8",2,2,2,3
"KXD1",2,2,2,3
"UBA52",2,2,2,3
"CRLF1",2,2,2,3
"KLHL26",2,2,2,3
"CRTC1",2,2,2,3
"UPF1",2,2,2,3
"CERS1",2,2,2,3
"COPE",2,2,2,3
"DDX49",2,2,2,3
"HOMER3",2,2,2,3
"SUGP2",2,2,2,3
"ARMC6",2,2,2,3
"SLC25A42",2,2,2,3
"TMEM161A",2,2,2,3
"RFXANK",2,2,2,3
"NR2C2AP",2,2,2,3
"SUGP1",2,2,2,3
"MAU2",2,2,2,3
"GATAD2A",2,2,2,3
"TSSK6",2,2,2,3
"NDUFA13",2,2,2,3
"YJEFN3",2,2,2,3
"CILP2",2,2,2,3
"PBX4",2,2,2,3
"LPAR2",2,2,2,3
"GMIP",2,2,2,3
"ATP13A1",2,2,2,3
"ZNF101",2,2,2,3
"ZNF14",2,2,2,3
"LINC00663",2,2,2,3
"ZNF506",2,2,2,3
"ZNF253",2,2,2,3
"ZNF93",2,2,2,3
"ZNF682",2,2,2,3
"ZNF90",2,2,2,3
"ZNF486",2,2,2,3
"ZNF85",2,2,2,3
"ZNF430",2,2,2,3
"ZNF714",2,2,2,3
"ZNF431",2,2,2,3
"ZNF708",2,2,2,3
"ZNF738",2,2,2,3
"ZNF493",2,2,2,3
"LINC00664",2,2,2,3
"ZNF429",2,2,2,3
"ZNF100",2,2,2,3
"ZNF43",2,2,2,3
"ZNF208",2,2,2,3
"ZNF257",2,2,2,3
"ZNF676",2,2,2,3
"ZNF98",2,2,2,3
"ZNF492",2,2,2,3
"ZNF730",2,2,2,3
"ZNF91",2,2,2,3
"ZNF675",2,2,2,3
"ZNF681",2,2,2,3
"LINC00662",2,2,2,3
"POP4",2,2,2,3
"PLEKHF1",2,2,2,3
"C19orf12",2,2,2,3
"CCNE1",2,2,2,3
"URI1",2,2,2,3
"LINC01063",3,3,5,3
"HHIP-AS1",5,3,3,3
"CXorf58",1,1,1,2
"AL160269.1",3,3,3,2
"PAPPA",3,3,3,1
"ENO4",2,2,2,1
"PLA2G4B",2,3,2,2
"PRC1-AS1",2,3,2,2
"UNC13A",2,2,2,3
"DCDC2B",2,2,2,3
"AL513327.1",2,2,2,3
"SLFNL1",2,2,2,3
"ZSWIM5",2,2,2,3
"ALX3",3,3,2,2
"PDZRN3",2,2,3,1
"ROBO2",2,2,3,2
"KBTBD12",2,2,3,2
"FGF12",3,3,5,3
"SEMA6A",2,1,1,2
"ZNF474",2,1,1,2
"AC010240.3",2,1,1,2
"SMAD5-AS1",2,1,1,2
"PSD2",2,2,1,2
"PCDHA12",2,2,1,2
"PCDHGB2",2,2,1,2
"PCDHGB3",2,2,1,2
"PCDHGA9",2,2,1,2
"ARSD-AS1",1,1,1,2
"TMEM47",2,2,2,3
"NDP",2,2,2,3
"EFCAB1",4,4,3,2
"ZFHX4",4,4,3,2
"SLC26A7",4,4,3,2
"AC016405.2",7,8,6,4
"ANXA13",7,8,6,4
"CASC11",7,8,6,4
"WISP1",7,8,6,4
"DIRAS2",3,3,3,2
"FRRS1L",3,3,3,1
"C9orf147",3,3,3,1
"GFI1B",2,2,2,1
"CREB3L1",2,2,2,1
"KRTAP5-10",2,2,3,2
"PHOX2A",2,2,3,2
"LOXL4",2,2,1,2
"RYR3",2,3,2,2
"CTXN2",2,3,2,2
"GCOM1",2,3,2,2
"AC103740.1",2,3,2,2
"MEGF11",2,3,2,2
"LINC00930",2,3,2,2
"CASKIN1",3,3,2,2
"TEKT5",3,3,2,2
"AQP8",3,3,2,2
"LINC-ROR",2,1,2,2
"LINC00683",2,1,2,2
"ZNF99",2,2,2,3
"AC005616.1",2,2,2,3
"SYT14",2,2,1,2
"KCNK2",2,2,1,2
"USH2A",2,2,1,2
"MARK1",2,2,1,2
"RNU6ATAC35P",2,2,1,2
"CNTN3",2,2,3,1
"CADM2",2,2,3,2
"HTR1F",2,2,3,2
"LINC00635",2,2,3,2
"ALDH1L1",2,2,3,2
"GATA2",2,2,3,2
"ZBBX",2,2,3,2
"KCNMB2",2,2,4,2
"SOX2",2,2,4,2
"MASP1",3,3,5,2
"OSTN",3,3,5,3
"UTS2B",3,3,5,3
"EMCN",2,1,2,1
"CXXC4",2,1,2,1
"ARHGEF38",2,1,2,1
"COL25A1",2,1,2,1
"RRH",2,1,2,1
"LRIT3",2,1,2,1
"EGF",2,1,2,1
"AC079341.1",2,1,2,1
"FAT4",2,1,2,1
"PABPC4L",2,1,2,1
"EDNRA",4,3,3,3
"MCIDAS",2,1,2,2
"RGS7BP",2,1,2,2
"EDIL3",2,1,1,2
"PCSK1",2,1,1,2
"KCNN2",2,1,1,2
"LINC00992",2,1,1,2
"SOWAHA",2,1,1,2
"CXCL14",2,1,1,2
"PCDHA1",2,2,1,2
"PCDHA3",2,2,1,2
"PCDHA4",2,2,1,2
"PCDHA5",2,2,1,2
"PCDHA6",2,2,1,2
"PCDHA7",2,2,1,2
"PCDHA9",2,2,1,2
"PCDHA11",2,2,1,2
"PCDHA13",2,2,1,2
"PCDHAC1",2,2,1,2
"PCDHAC2",2,2,1,2
"PCDHB1",2,2,1,2
"PCDHB3",2,2,1,2
"PCDHB4",2,2,1,2
"PCDHB6",2,2,1,2
"PCDHB7",2,2,1,2
"PCDHB16",2,2,1,2
"PCDHB10",2,2,1,2
"PCDHB11",2,2,1,2
"PCDHB12",2,2,1,2
"PCDHB13",2,2,1,2
"PCDHB14",2,2,1,2
"AC005618.1",2,2,1,2
"PCDHGA1",2,2,1,2
"PCDHGA2",2,2,1,2
"PCDHGA3",2,2,1,2
"PCDHGB1",2,2,1,2
"PCDHGA4",2,2,1,2
"FGF1",2,2,1,2
"AC005592.1",2,2,1,2
"ARHGAP26-AS1",2,2,1,2
"GRXCR2",2,2,1,2
"PLAC8L1",2,2,1,2
"STK32A",2,2,1,2
"NLGN4X",1,1,1,2
"VCX3B",1,1,1,2
"TLR8-AS1",1,1,1,2
"ACE2",1,1,1,2
"SMPX",1,1,1,2
"PCYT1B",1,1,1,2
"IL1RAPL1",1,1,1,2
"SYTL5",2,2,2,3
"AC092198.1",2,2,2,3
"CXorf36",2,2,2,3
"ZNF157",2,2,2,3
"ERAS",2,2,2,3
"SFRP1",4,4,3,2
"NKX6-3",4,4,3,2
"PXDNL",4,4,3,2
"SDR16C5",4,4,3,2
"AC022182.1",4,4,3,2
"CLVS1",4,4,3,2
"TRIM55",4,4,3,2
"PPP1R42",4,4,3,2
"EYA1",4,4,3,2
"CNGB3",4,4,3,2
"NECAB1",4,4,3,2
"SNX31",5,5,4,3
"ODF1",6,6,5,4
"TMEM74",6,6,5,4
"LINC00536",7,6,6,4
"HAS2",7,8,6,4
"HAS2-AS1",7,8,6,4
"LINC01151",7,8,6,4
"AC083843.2",6,7,6,4
"AC083843.1",6,7,6,4
"LY6H",6,7,6,4
"GPIHBP1",6,7,6,4
"AC084125.1",6,7,6,4
"AF186192.1",6,7,6,4
"BAAT",3,3,3,2
"PALM2-AKAP2",3,3,3,1
"ORM1",3,3,3,1
"PAPPA-AS1",3,3,3,1
"MORN5",3,3,3,1
"LHX6",3,3,3,1
"WDR38",2,2,2,1
"LMX1B",2,2,2,1
"AL353803.1",2,2,2,1
"C9orf50",2,2,2,1
"FIBCD1",2,2,2,1
"LAMC3",2,2,2,1
"MRGPRF",2,2,3,2
"SHANK2-AS1",2,2,3,2
"AP002761.1",2,2,3,2
"OR2AT4",2,2,3,2
"PGR",2,2,3,2
"MMP10",2,2,3,2
"MAT1A",2,2,1,2
"DYDC1",2,2,1,2
"SH2D4B",2,2,1,2
"NRG3",2,2,1,2
"C10orf99",2,2,1,2
"GRID1",2,2,1,2
"AL353751.1",2,2,1,2
"ANKRD1",2,2,1,2
"CYP26C1",2,2,1,2
"CYP26A1",2,2,1,2
"HOGA1",2,2,1,2
"CNNM1",2,2,1,2
"VWA2",2,2,2,1
"C10orf82",2,2,2,1
"LINC00867",2,2,2,1
"EBF3",2,2,2,1
"NKX6-2",2,2,2,1
"KCNA5",2,2,2,1
"NTF3",2,2,2,1
"ANO2",2,2,2,1
"ABCC9",2,2,2,1
"OVCH1",2,2,2,1
"SYT10",2,2,2,1
"MUC19",2,2,2,1
"SLC38A4",2,2,2,1
"ENDOU",2,2,2,1
"RNASE13",4,4,3,2
"LINC00648",4,4,3,2
"LINC00637",2,1,1,1
"ASPG",2,1,1,1
"KIF26A",2,1,1,1
"FAM189A1",2,3,2,2
"GPR176",2,3,2,2
"PPP1R14D",2,3,2,2
"DLL4",2,3,2,2
"PLA2G4D",2,3,2,2
"PLA2G4F",2,3,2,2
"DUOX2",2,3,2,2
"DUOXA1",2,3,2,2
"SLC24A5",2,3,2,2
"SLC12A1",2,3,2,2
"BCL2L10",2,3,2,2
"UNC13C",2,3,2,2
"PYGO1",2,3,2,2
"PRTG",2,3,2,2
"SLC51B",2,3,2,2
"RASL12",2,3,2,2
"IGDCC4",2,3,2,2
"CYP11A1",2,3,2,2
"CHRNB4",2,3,2,2
"AGBL1",2,3,2,2
"PLIN1",2,3,2,2
"AC068831.6",2,3,2,2
